iter	TotalF1	MultiClass
182	0.6679427807	0.7438489277
183	0.6674271444	0.7433532678
184	0.6678182384	0.7432983721
185	0.6683354425	0.7428426026
186	0.669053897	0.7423723868
187	0.6702042546	0.741968273
188	0.6700986297	0.7416939579
189	0.669717003	0.7417574274
190	0.6697551916	0.7416904792
191	0.6696477518	0.7413065778
192	0.6703628022	0.7410608978
193	0.6703243058	0.7406435239
194	0.6702813171	0.7406220272
195	0.6706830592	0.7399935197
196	0.6710882075	0.7398054392
197	0.6709881254	0.7395238004
198	0.6712461791	0.7393492717
199	0.6709970197	0.739285797
200	0.6709862039	0.739151356
201	0.6712166904	0.7390110776
202	0.671206514	0.7385826708
203	0.671620812	0.7382783788
204	0.6714275877	0.7381236114
205	0.6715460784	0.7380481292
206	0.6716043562	0.7377980048
207	0.6718013574	0.7378489702
208	0.6717341471	0.7376857571
209	0.6717101221	0.7376312075
210	0.6720331066	0.737202643
211	0.6726410105	0.7370784359
212	0.6730458744	0.7368167855
213	0.6728657359	0.7368540958
214	0.6727868643	0.7369103507
215	0.6727140534	0.7366560737
216	0.6726552259	0.7363376418
217	0.6732094871	0.7359248502
218	0.6737340348	0.7356025199
219	0.6737025654	0.7354251727
220	0.6730919596	0.7350668759
221	0.6737025462	0.7348607487
222	0.6742958865	0.7347235501
223	0.6743771666	0.7346421787
224	0.6744957349	0.7343585934
225	0.6749505772	0.7339680464
226	0.6748642053	0.7339606365
227	0.6753109126	0.7335520094
228	0.6759700461	0.733293367
229	0.6755381601	0.7329635114
230	0.6754355197	0.7329637766
231	0.6757863831	0.7328337486
232	0.6762608206	0.7323807187
233	0.6766667364	0.7321964402
234	0.6769455635	0.7319639674
235	0.6770779131	0.7318921604
236	0.6768267208	0.7316103263
237	0.677268033	0.731177262
238	0.6771174844	0.7310257984
239	0.6775788409	0.7309632323
240	0.678019579	0.7304763957
241	0.6785475374	0.7304015628
242	0.6780387472	0.7303495024
243	0.6783378179	0.7302694001
244	0.6782787515	0.7299123041
245	0.6783054315	0.7297974353
246	0.6782175704	0.729882316
247	0.6783872919	0.7295711741
248	0.6786338373	0.7293312821
249	0.6787628071	0.7289773537
250	0.6788453551	0.7285375539
251	0.6789445723	0.7285317139
252	0.6789768365	0.7285007921
253	0.6786861721	0.7284344989
254	0.6785370369	0.7283311016
255	0.678092674	0.7282776316
256	0.6784943107	0.7278802976
257	0.678566509	0.7277074932
258	0.6786966147	0.7276520399
259	0.6791501496	0.7275320823
260	0.6796759808	0.7271897896
261	0.680405295	0.726929101
262	0.6802111799	0.7266859178
263	0.6802673531	0.7264122905
264	0.6803979051	0.7264465903
265	0.6803978124	0.7262932975
266	0.6806807312	0.7259840285
267	0.680840419	0.725884575
268	0.6811106174	0.7256885902
269	0.6809520593	0.7256134338
270	0.6813001533	0.7255567429
271	0.6808249702	0.7255484168
272	0.681216121	0.7253767096
